2026-02-14 10:59:00.696 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 10:59:00.696 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T10:59:00.696649
2026-02-14 10:59:00.698 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 10:59:00.869 | WARNING  | app.auth.jwt:<module>:27 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 10:59:02.046 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 10:59:02.047 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 10:59:02.048 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 10:59:02.050 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 10:59:02.063 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 10:59:58.177 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 10:59:58.179 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 10:59:58.187 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 10:59:58.200 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 10:59:58.215 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 10:59:58.229 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 10:59:58.236 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T10:59:58.236475
2026-02-14 10:59:58.244 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:00:12.048 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:00:12.069 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:00:12.081 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:00:12.095 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:00:12.095 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:00:12.096 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:00:12.097 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:00:12.097552
2026-02-14 11:00:12.109 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:00:17.052 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:00:17.138 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:00:17.151 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:00:17.155 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:00:17.250 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:00:17.320 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:00:17.338 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:00:17.338539
2026-02-14 11:00:17.381 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:00:32.553 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:00:32.555 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:00:32.556 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:00:32.556 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:00:32.557 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:00:32.557 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
